date,deaths,cumDeaths
08/02/2021,22,14305
07/02/2021,44,14283
06/02/2021,42,14239
05/02/2021,66,14197
04/02/2021,51,14131
03/02/2021,94,14080
02/02/2021,88,13986
01/02/2021,80,13898
31/01/2021,91,13818
30/01/2021,81,13727
29/01/2021,105,13646
28/01/2021,118,13541
27/01/2021,124,13423
26/01/2021,122,13299
25/01/2021,145,13177
24/01/2021,147,13032
23/01/2021,151,12885
22/01/2021,155,12734
21/01/2021,177,12579
20/01/2021,177,12402
19/01/2021,196,12225
18/01/2021,204,12029
17/01/2021,195,11825
16/01/2021,194,11630
15/01/2021,178,11436
14/01/2021,184,11258
13/01/2021,193,11074
12/01/2021,190,10881
11/01/2021,182,10691
10/01/2021,186,10509
09/01/2021,175,10323
08/01/2021,171,10148
07/01/2021,178,9977
06/01/2021,157,9799
05/01/2021,177,9642
04/01/2021,156,9465
03/01/2021,137,9309
02/01/2021,144,9172
01/01/2021,132,9028
31/12/2020,129,8896
30/12/2020,122,8767
29/12/2020,111,8645
28/12/2020,101,8534
27/12/2020,100,8433
26/12/2020,91,8333
25/12/2020,87,8242
24/12/2020,65,8155
23/12/2020,65,8090
22/12/2020,74,8025
21/12/2020,59,7951
20/12/2020,51,7892
19/12/2020,47,7841
18/12/2020,41,7794
17/12/2020,61,7753
16/12/2020,30,7692
15/12/2020,43,7662
14/12/2020,37,7619
13/12/2020,29,7582
12/12/2020,42,7553
11/12/2020,27,7511
10/12/2020,29,7484
09/12/2020,30,7455
08/12/2020,34,7425
07/12/2020,32,7391
06/12/2020,27,7359
05/12/2020,28,7332
04/12/2020,32,7304
03/12/2020,34,7272
02/12/2020,28,7238
01/12/2020,24,7210
30/11/2020,24,7186
29/11/2020,48,7162
28/11/2020,33,7114
27/11/2020,21,7081
26/11/2020,28,7060
25/11/2020,39,7032
24/11/2020,29,6993
23/11/2020,18,6964
22/11/2020,29,6946
21/11/2020,20,6917
20/11/2020,26,6897
19/11/2020,24,6871
18/11/2020,20,6847
17/11/2020,29,6827
16/11/2020,31,6798
15/11/2020,19,6767
14/11/2020,21,6748
13/11/2020,14,6727
12/11/2020,19,6713
11/11/2020,11,6694
10/11/2020,15,6683
09/11/2020,28,6668
08/11/2020,20,6640
07/11/2020,23,6620
06/11/2020,17,6597
05/11/2020,14,6580
04/11/2020,16,6566
03/11/2020,13,6550
02/11/2020,17,6537
01/11/2020,16,6520
31/10/2020,6,6504
30/10/2020,14,6498
29/10/2020,12,6484
28/10/2020,21,6472
27/10/2020,15,6451
26/10/2020,12,6436
25/10/2020,11,6424
24/10/2020,18,6413
23/10/2020,6,6395
22/10/2020,11,6389
21/10/2020,15,6378
20/10/2020,7,6363
19/10/2020,10,6356
18/10/2020,6,6346
17/10/2020,4,6340
16/10/2020,7,6336
15/10/2020,12,6329
14/10/2020,4,6317
13/10/2020,5,6313
12/10/2020,5,6308
11/10/2020,4,6303
10/10/2020,5,6299
09/10/2020,7,6294
08/10/2020,5,6287
07/10/2020,6,6282
06/10/2020,5,6276
05/10/2020,9,6271
04/10/2020,2,6262
03/10/2020,2,6260
02/10/2020,3,6258
01/10/2020,5,6255
30/09/2020,6,6250
29/09/2020,9,6244
28/09/2020,4,6235
27/09/2020,1,6231
26/09/2020,1,6230
25/09/2020,1,6229
24/09/2020,2,6228
23/09/2020,7,6226
22/09/2020,6,6219
21/09/2020,4,6213
20/09/2020,4,6209
19/09/2020,3,6205
18/09/2020,1,6202
17/09/2020,3,6201
16/09/2020,2,6198
15/09/2020,1,6196
14/09/2020,0,6195
13/09/2020,0,6195
12/09/2020,0,6195
11/09/2020,3,6195
10/09/2020,2,6192
09/09/2020,0,6190
08/09/2020,0,6190
07/09/2020,0,6190
06/09/2020,2,6190
05/09/2020,0,6188
04/09/2020,0,6188
03/09/2020,1,6188
02/09/2020,1,6187
01/09/2020,0,6186
31/08/2020,1,6186
30/08/2020,0,6185
29/08/2020,0,6185
28/08/2020,0,6185
27/08/2020,0,6185
26/08/2020,0,6185
25/08/2020,1,6185
24/08/2020,0,6184
23/08/2020,0,6184
22/08/2020,1,6184
21/08/2020,0,6183
20/08/2020,1,6183
19/08/2020,0,6182
18/08/2020,1,6182
17/08/2020,2,6181
16/08/2020,0,6179
15/08/2020,0,6179
14/08/2020,0,6179
13/08/2020,2,6179
12/08/2020,0,6177
11/08/2020,1,6177
10/08/2020,0,6176
09/08/2020,0,6176
08/08/2020,1,6176
07/08/2020,0,6175
06/08/2020,0,6175
05/08/2020,0,6175
04/08/2020,0,6175
03/08/2020,0,6175
02/08/2020,1,6175
01/08/2020,2,6174
31/07/2020,2,6172
30/07/2020,0,6170
29/07/2020,0,6170
28/07/2020,0,6170
27/07/2020,1,6170
26/07/2020,0,6169
25/07/2020,0,6169
24/07/2020,0,6169
23/07/2020,2,6169
22/07/2020,0,6167
21/07/2020,0,6167
20/07/2020,0,6167
19/07/2020,0,6167
18/07/2020,0,6167
17/07/2020,2,6167
16/07/2020,0,6165
15/07/2020,1,6165
14/07/2020,0,6164
13/07/2020,1,6164
12/07/2020,1,6163
11/07/2020,3,6162
10/07/2020,0,6159
09/07/2020,2,6159
08/07/2020,3,6157
07/07/2020,1,6154
06/07/2020,2,6153
05/07/2020,3,6151
04/07/2020,1,6148
03/07/2020,1,6147
02/07/2020,2,6146
01/07/2020,1,6144
30/06/2020,1,6143
29/06/2020,1,6142
28/06/2020,1,6141
27/06/2020,0,6140
26/06/2020,0,6140
25/06/2020,1,6140
24/06/2020,4,6139
23/06/2020,0,6135
22/06/2020,3,6135
21/06/2020,2,6132
20/06/2020,2,6130
19/06/2020,2,6128
18/06/2020,0,6126
17/06/2020,1,6126
16/06/2020,1,6125
15/06/2020,2,6124
14/06/2020,2,6122
13/06/2020,2,6120
12/06/2020,5,6118
11/06/2020,5,6113
10/06/2020,5,6108
09/06/2020,2,6103
08/06/2020,8,6101
07/06/2020,5,6093
06/06/2020,3,6088
05/06/2020,2,6085
04/06/2020,6,6083
03/06/2020,6,6077
02/06/2020,7,6071
01/06/2020,6,6064
31/05/2020,5,6058
30/05/2020,7,6053
29/05/2020,5,6046
28/05/2020,9,6041
27/05/2020,9,6032
26/05/2020,11,6023
25/05/2020,9,6012
24/05/2020,6,6003
23/05/2020,6,5997
22/05/2020,8,5991
21/05/2020,12,5983
20/05/2020,16,5971
19/05/2020,19,5955
18/05/2020,13,5936
17/05/2020,15,5923
16/05/2020,10,5908
15/05/2020,17,5898
14/05/2020,18,5881
13/05/2020,12,5863
12/05/2020,15,5851
11/05/2020,23,5836
10/05/2020,27,5813
09/05/2020,25,5786
08/05/2020,29,5761
07/05/2020,28,5732
06/05/2020,42,5704
05/05/2020,33,5662
04/05/2020,38,5629
03/05/2020,42,5591
02/05/2020,53,5549
01/05/2020,43,5496
30/04/2020,44,5453
29/04/2020,52,5409
28/04/2020,58,5357
27/04/2020,53,5299
26/04/2020,64,5246
25/04/2020,60,5182
24/04/2020,74,5122
23/04/2020,76,5048
22/04/2020,111,4972
21/04/2020,103,4861
20/04/2020,97,4758
19/04/2020,115,4661
18/04/2020,116,4546
17/04/2020,109,4430
16/04/2020,140,4321
15/04/2020,146,4181
14/04/2020,144,4035
13/04/2020,170,3891
12/04/2020,169,3721
11/04/2020,165,3552
10/04/2020,174,3387
09/04/2020,198,3213
08/04/2020,231,3015
07/04/2020,221,2784
06/04/2020,195,2563
05/04/2020,196,2368
04/04/2020,225,2172
03/04/2020,190,1947
02/04/2020,195,1757
01/04/2020,189,1562
31/03/2020,178,1373
30/03/2020,152,1195
29/03/2020,141,1043
28/03/2020,120,902
27/03/2020,126,782
26/03/2020,123,656
25/03/2020,116,533
24/03/2020,88,417
23/03/2020,56,329
22/03/2020,53,273
21/03/2020,47,220
20/03/2020,45,173
19/03/2020,25,128
18/03/2020,26,103
17/03/2020,23,77
16/03/2020,15,54
15/03/2020,9,39
14/03/2020,11,30
13/03/2020,6,19
12/03/2020,6,13
11/03/2020,4,7
10/03/2020,1,3
09/03/2020,2,2
